No,;Time;Source;Destination;Protocol;Length;Info;;;Time1;Time2;Delay;;Delay1;Delay2;Jitter
425;18,087703;13,35,99,88;192,168,1,6;TCP;1506;443  >  58003 [ACK] Seq=10360 Ack=952 Win=31488 Len=1452 [TCP segment of a reassembled PDU];;;18,087703;18,087703;0;;-0,000208;0,000208;0,000416
426;18,087703;13,35,99,88;192,168,1,6;TCP;1506;443  >  58003 [ACK] Seq=11812 Ack=952 Win=31488 Len=1452 [TCP segment of a reassembled PDU];;;18,087703;18,087703;0,000208;;-0,012611;0,012819;0,02543
427;18,087703;13,35,99,88;192,168,1,6;TCP;1506;443  >  58003 [ACK] Seq=13264 Ack=952 Win=31488 Len=1452 [TCP segment of a reassembled PDU];;;18,087703;18,087911;0,012819;;0,012724;0,000095;-0,012629
428;18,087911;192,168,1,6;13,35,99,88;TCP;54;58003  >  443 [ACK] Seq=983 Ack=14716 Win=132096 Len=0;;;18,087911;18,10073;0,000095;;-0,0004;0,000495;0,000895
429;18,10073;13,35,99,88;192,168,1,6;TCP;1506;443  >  58003 [ACK] Seq=14716 Ack=952 Win=31488 Len=1452 [TCP segment of a reassembled PDU];;;18,10073;18,100825;0,000495;;0,000443;0,000052;-0,000391
430;18,100825;192,168,1,6;13,35,99,88;TCP;54;58003  >  443 [ACK] Seq=983 Ack=16168 Win=132096 Len=0;;;18,100825;18,10132;0,000052;;-0,011623;0,011675;0,023298
431;18,10132;13,35,99,88;192,168,1,6;TCP;1506;443  >  58003 [ACK] Seq=16168 Ack=952 Win=31488 Len=1452 [TCP segment of a reassembled PDU];;;18,10132;18,101372;0,011675;;0,011587;0,000088;-0,011499
432;18,101372;192,168,1,6;13,35,99,88;TCP;54;58003  >  443 [ACK] Seq=983 Ack=17620 Win=132096 Len=0;;;18,101372;18,113047;0,000088;;-0,001228;0,001316;0,002544
433;18,113047;13,35,99,88;192,168,1,6;TCP;1506;443  >  58003 [ACK] Seq=17620 Ack=952 Win=31488 Len=1452 [TCP segment of a reassembled PDU];;;18,113047;18,113135;0,001316;;0,001205;0,000111;-0,001094
434;18,113135;192,168,1,6;13,35,99,88;TCP;54;58003  >  443 [ACK] Seq=983 Ack=19072 Win=132096 Len=0;;;18,113135;18,114451;0,000111;;-0,012324;0,012435;0,024759
435;18,114451;13,35,99,88;192,168,1,6;TCP;1506;443  >  58003 [ACK] Seq=19072 Ack=952 Win=31488 Len=1452 [TCP segment of a reassembled PDU];;;18,114451;18,114562;0,012435;;0,01235;0,000085;-0,012265
436;18,114562;192,168,1,6;13,35,99,88;TCP;54;58003  >  443 [ACK] Seq=983 Ack=20524 Win=132096 Len=0;;;18,114562;18,126997;0,000085;;-0,003534;0,003619;0,007153
437;18,126997;13,35,99,88;192,168,1,6;TCP;1506;443  >  58003 [ACK] Seq=20524 Ack=952 Win=31488 Len=1452 [TCP segment of a reassembled PDU];;;18,126997;18,127082;0,003619;;0,003501;0,000118;-0,003383
438;18,127082;192,168,1,6;13,35,99,88;TCP;54;58003  >  443 [ACK] Seq=983 Ack=21976 Win=132096 Len=0;;;18,127082;18,130701;0,000118;;-0,010207;0,010325;0,020532
439;18,130701;13,35,99,88;192,168,1,6;TLSv1,3;1506;Application Data [TCP segment of a reassembled PDU];;;18,130701;18,130819;0,010325;;0,010325;0;-0,010325
440;18,130819;192,168,1,6;13,35,99,88;TCP;54;58003  >  443 [ACK] Seq=983 Ack=23428 Win=132096 Len=0;;;18,130819;18,141144;0;;-0,000134;0,000134;0,000268
441;18,141144;13,35,99,88;192,168,1,6;TCP;1506;443  >  58003 [ACK] Seq=23428 Ack=952 Win=31488 Len=1452 [TCP segment of a reassembled PDU];;;18,141144;18,141144;0,000134;;-0,012589;0,012723;0,025312
442;18,141144;13,35,99,88;192,168,1,6;TCP;1506;443  >  58003 [ACK] Seq=24880 Ack=952 Win=31488 Len=1452 [TCP segment of a reassembled PDU];;;18,141144;18,141278;0,012723;;0,012636;0,000087;-0,012549
443;18,141278;192,168,1,6;13,35,99,88;TCP;54;58003  >  443 [ACK] Seq=983 Ack=26332 Win=132096 Len=0;;;18,141278;18,154001;0,000087;;-0,000161;0,000248;0,000409
445;18,154001;13,35,99,88;192,168,1,6;TCP;1506;443  >  58003 [ACK] Seq=26332 Ack=952 Win=31488 Len=1452 [TCP segment of a reassembled PDU];;;18,154001;18,154088;0,000248;;0,000158;0,00009;-0,000068
446;18,154088;192,168,1,6;13,35,99,88;TCP;54;58003  >  443 [ACK] Seq=983 Ack=27784 Win=132096 Len=0;;;18,154088;18,154336;0,00009;;-0,010516;0,010606;0,021122
447;18,154336;13,35,99,88;192,168,1,6;TLSv1,3;345;Application Data;;;18,154336;18,154426;0,010606;;0,009826;0,00078;-0,009046
448;18,154426;192,168,1,6;13,35,99,88;TCP;54;58003  >  443 [ACK] Seq=983 Ack=28075 Win=131840 Len=0;;;18,154426;18,165032;0,00078;;0,000373;0,000407;0,000034
449;18,165032;54.212.130.172;192,168,1,6;TCP;54;443  >  58009 [ACK] Seq=1 Ack=518 Win=28160 Len=0;;;18,165032;18,165812;0,000407;;0,000106;0,000301;0,000195
450;18,165812;192,168,1,6;74.125.200.154;TCP;54;58007  >  443 [FIN, ACK] Seq=3919 Ack=14187 Win=131328 Len=0;;;18,165812;18,166219;0,000301;;0,000037;0,000264;0,000227
451;18,166219;192,168,1,6;18.139.205.223;TCP;54;58002  >  443 [FIN, ACK] Seq=8499 Ack=85872 Win=132096 Len=0;;;18,166219;18,16652;0,000264;;-0,000115;0,000379;0,000494
452;18,16652;192,168,1,6;104,20,1,94;TCP;54;58001  >  443 [FIN, ACK] Seq=1707 Ack=11950 Win=131584 Len=0;;;18,16652;18,166784;0,000379;;0,000379;0;-0,000379
453;18,166784;192,168,1,6;13,35,99,88;TCP;54;58003  >  443 [FIN, ACK] Seq=983 Ack=28075 Win=131840 Len=0;;;18,166784;18,167163;0;;0;0;0
454;18,167163;54.212.130.172;192,168,1,6;TLSv1,2;1506;Server Hello;;;18,167163;18,167163;0;;-0,000191;0,000191;0,000382
455;18,167163;54.212.130.172;192,168,1,6;TCP;1506;443  >  58009 [ACK] Seq=1453 Ack=518 Win=28160 Len=1452 [TCP segment of a reassembled PDU];;;18,167163;18,167163;0,000191;;-0,014324;0,014515;0,028839
456;18,167163;54.212.130.172;192,168,1,6;TLSv1,2;1426;Certificate, Server Key Exchange, Server Hello Done;;;18,167163;18,167354;0,014515;;0,013586;0,000929;-0,012657
457;18,167354;192,168,1,6;54.212.130.172;TCP;54;58009  >  443 [ACK] Seq=518 Ack=4277 Win=132096 Len=0;;;18,167354;18,181869;0,000929;;0,000836;0,000093;-0,000743
458;18,181869;104,244,38,20;192,168,1,6;TLSv1,2;312;New Session Ticket, Change Cipher Spec, Encrypted Handshake Message;;;18,181869;18,182798;0,000093;;-0,003977;0,00407;0,008047
459;18,182798;74.125.200.154;192,168,1,6;TCP;54;443  >  58007 [FIN, ACK] Seq=14187 Ack=3920 Win=75264 Len=0;;;18,182798;18,182891;0,00407;;0,000172;0,003898;0,003726
460;18,182891;192,168,1,6;74.125.200.154;TCP;54;58007  >  443 [ACK] Seq=3920 Ack=14188 Win=131328 Len=0;;;18,182891;18,186961;0,003898;;0,002359;0,001539;-0,00082
461;18,186961;104,244,38,20;192,168,1,6;TLSv1,2;312;New Session Ticket, Change Cipher Spec, Encrypted Handshake Message;;;18,186961;18,190859;0,001539;;0,001379;0,00016;-0,001219
462;18,190859;104,244,38,20;192,168,1,6;TLSv1,2;312;New Session Ticket, Change Cipher Spec, Encrypted Handshake Message;;;18,190859;18,192398;0,00016;;-0,000751;0,000911;0,001662
464;18,192398;18.139.205.223;192,168,1,6;TCP;54;443  >  58002 [FIN, ACK] Seq=85872 Ack=8500 Win=48384 Len=0;;;18,192398;18,192558;0,000911;;0,000787;0,000124;-0,000663
465;18,192558;192,168,1,6;18.139.205.223;TCP;54;58002  >  443 [ACK] Seq=8500 Ack=85873 Win=132096 Len=0;;;18,192558;18,193469;0,000124;;-0,00706;0,007184;0,014244
466;18,193469;104,244,38,20;192,168,1,6;TLSv1,2;391;Application Data;;;18,193469;18,193593;0,007184;;0,007184;0;-0,007184
467;18,193593;192,168,1,6;104,244,38,20;TCP;54;58005  >  443 [ACK] Seq=1631 Ack=6560 Win=131328 Len=0;;;18,193593;18,200777;0;;-0,000239;0,000239;0,000478
468;18,200777;104,244,38,20;192,168,1,6;TLSv1,2;391;Application Data;;;18,200777;18,200777;0,000239;;0,000102;0,000137;0,000035
469;18,200777;104,244,38,20;192,168,1,6;TLSv1,2;391;Application Data;;;18,200777;18,201016;0,000137;;-0,000052;0,000189;0,000241
470;18,201016;192,168,1,6;104,244,38,20;TCP;54;58006  >  443 [ACK] Seq=1886 Ack=6560 Win=131328 Len=0;;;18,201016;18,201153;0,000189;;0,000162;0,000027;-0,000135
471;18,201153;192,168,1,6;104,244,38,20;TCP;54;58004  >  443 [ACK] Seq=1624 Ack=6560 Win=131328 Len=0;;;18,201153;18,201342;0,000027;;-0,001951;0,001978;0,003929
472;18,201342;104,244,38,20;192,168,1,6;TLSv1,2;312;New Session Ticket, Change Cipher Spec, Encrypted Handshake Message;;;18,201342;18,201369;0,001978;;0,000609;0,001369;0,00076
473;18,201369;192,168,1,6;54.212.130.172;TLSv1,2;180;Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message;;;18,201369;18,203347;0,001369;;0,001369;0;-0,001369
474;18,203347;192,168,1,6;54.212.130.172;TLSv1,2;153;Application Data;;;18,203347;18,204716;0;;-0,001322;0,001322;0,002644
475;18,204716;192,168,1,6;54.212.130.172;TCP;1506;58009  >  443 [ACK] Seq=743 Ack=4277 Win=132096 Len=1452 [TCP segment of a reassembled PDU];;;18,204716;18,204716;0,001322;;0,001179;0,000143;-0,001036
476;18,204716;192,168,1,6;54.212.130.172;TLSv1,2;517;Application Data;;;18,204716;18,206038;0,000143;;-0,015641;0,015784;0,031425
477;18,206038;104,244,38,20;192,168,1,6;TLSv1,2;391;Application Data;;;18,206038;18,206181;0,015784;;0,015678;0,000106;-0,015572
478;18,206181;192,168,1,6;104,244,38,20;TCP;54;58008  >  443 [ACK] Seq=1572 Ack=6560 Win=131328 Len=0;;;18,206181;18,221965;0,000106;;-0,092664;0,09277;0,185434
482;18,221965;104,20,1,94;192,168,1,6;TCP;54;443  >  58001 [FIN, ACK] Seq=11950 Ack=1708 Win=69632 Len=0;;;18,221965;18,222071;0,09277;;0,051537;0,041233;-0,010304
483;18,222071;192,168,1,6;104,20,1,94;TCP;54;58001  >  443 [ACK] Seq=1708 Ack=11951 Win=131584 Len=0;;;18,222071;18,314841;0,041233;;0,041144;0,000089;-0,041055
484;18,314841;13,35,99,88;192,168,1,6;TCP;56;443  >  58003 [ACK] Seq=28075 Ack=983 Win=31488 Len=0;;;18,314841;18,356074;0,000089;;-0,071829;0,071918;0,143747
485;18,356074;13,35,99,88;192,168,1,6;TCP;54;443  >  58003 [FIN, ACK] Seq=28075 Ack=984 Win=31488 Len=0;;;18,356074;18,356163;0,071918;;0,071918;0;-0,071918
486;18,356163;192,168,1,6;13,35,99,88;TCP;54;58003  >  443 [ACK] Seq=984 Ack=28076 Win=131840 Len=0;;;18,356163;18,428081;0;;-0,000171;0,000171;0,000342
488;18,428081;54.212.130.172;192,168,1,6;TLSv1,2;312;New Session Ticket, Change Cipher Spec, Encrypted Handshake Message;;;18,428081;18,428081;0,000171;;-0,000076;0,000247;0,000323
489;18,428081;54.212.130.172;192,168,1,6;TLSv1,2;123;Application Data;;;18,428081;18,428252;0,000247;;-0,000185;0,000432;0,000617
490;18,428252;192,168,1,6;54.212.130.172;TCP;54;58009  >  443 [ACK] Seq=2658 Ack=4604 Win=131584 Len=0;;;18,428252;18,428499;0,000432;;-0,010542;0,010974;0,021516
491;18,428499;54.212.130.172;192,168,1,6;TLSv1,2;92;Application Data;;;18,428499;18,428931;0,010974;;0,010974;0;-0,010974
492;18,428931;192,168,1,6;54.212.130.172;TLSv1,2;92;Application Data;;;18,428931;18,439905;0;;0;0;0
493;18,439905;54.212.130.172;192,168,1,6;TCP;56;443  >  58009 [ACK] Seq=4642 Ack=2658 Win=33792 Len=0;;;18,439905;18,439905;0;;-0,000166;0,000166;0,000332
494;18,439905;54.212.130.172;192,168,1,6;TCP;1506;443  >  58009 [ACK] Seq=4642 Ack=2658 Win=33792 Len=1452 [TCP segment of a reassembled PDU];;;18,439905;18,439905;0,000166;;-0,000168;0,000334;0,000502
495;18,439905;54.212.130.172;192,168,1,6;TCP;1506;443  >  58009 [ACK] Seq=6094 Ack=2658 Win=33792 Len=1452 [TCP segment of a reassembled PDU];;;18,439905;18,440071;0,000334;;0,000334;0;-0,000334
497;18,440071;192,168,1,6;54.212.130.172;TCP;54;58009  >  443 [ACK] Seq=2696 Ack=7546 Win=132096 Len=0;;;18,440071;18,440405;0;;-0,000142;0,000142;0,000284
498;18,440405;54.212.130.172;192,168,1,6;TCP;1506;443  >  58009 [ACK] Seq=7546 Ack=2658 Win=33792 Len=1452 [TCP segment of a reassembled PDU];;;18,440405;18,440405;0,000142;;-0,000741;0,000883;0,001624
499;18,440405;54.212.130.172;192,168,1,6;TCP;1506;443  >  58009 [ACK] Seq=8998 Ack=2658 Win=33792 Len=1452 [TCP segment of a reassembled PDU];;;18,440405;18,440547;0,000883;;0,000883;0;-0,000883
500;18,440547;192,168,1,6;54.212.130.172;TCP;54;58009  >  443 [ACK] Seq=2696 Ack=10450 Win=132096 Len=0;;;18,440547;18,44143;0;;-0,000101;0,000101;0,000202
501;18,44143;54.212.130.172;192,168,1,6;TLSv1,2;1111;Application Data;;;18,44143;18,44143;0,000101;;-0,25377;0,253871;0,507641
502;18,44143;54.212.130.172;192,168,1,6;TLSv1,2;92;Application Data;;;18,44143;18,441531;0,253871;;-0,549467;0,803338;1,352805
503;18,441531;192,168,1,6;54.212.130.172;TCP;54;58009  >  443 [ACK] Seq=2696 Ack=11545 Win=130816 Len=0;;;18,441531;18,695402;0,803338;;0,803338;0;-0,803338
506;18,695402;54.212.130.172;192,168,1,6;TCP;56;443  >  58009 [ACK] Seq=11545 Ack=2696 Win=33792 Len=0;;;18,695402;19,49874;0;;-0,001734;0,001734;0,003468
511;19,49874;192,168,1,6;104,244,38,20;TCP;1506;58008  >  443 [ACK] Seq=1572 Ack=6560 Win=131328 Len=1452 [TCP segment of a reassembled PDU];;;19,49874;19,49874;0,001734;;0,001734;0;-0,001734
512;19,49874;192,168,1,6;104,244,38,20;TLSv1,2;330;Application Data;;;19,49874;19,500474;0;;-0,204674;0,204674;0,409348
513;19,500474;192,168,1,6;54.212.130.172;TCP;1506;58009  >  443 [ACK] Seq=2696 Ack=11545 Win=130816 Len=1452 [TCP segment of a reassembled PDU];;;19,500474;19,500474;0,204674;;0,204204;0,00047;-0,203734
514;19,500474;192,168,1,6;54.212.130.172;TLSv1,2;292;Application Data;;;19,500474;19,705148;0,00047;;-0,030679;0,031149;0,061828
515;19,705148;104,244,38,20;192,168,1,6;TCP;56;443  >  58008 [ACK] Seq=6560 Ack=3300 Win=38400 Len=0;;;19,705148;19,705618;0,031149;;0,0307;0,000449;-0,030251
516;19,705618;104,244,38,20;192,168,1,6;TLSv1,2;391;Application Data;;;19,705618;19,736767;0,000449;;-0,009388;0,009837;0,019225
517;19,736767;54.212.130.172;192,168,1,6;TCP;56;443  >  58009 [ACK] Seq=11545 Ack=4148 Win=36864 Len=0;;;19,736767;19,737216;0,009837;;0,009837;0;-0,009837
518;19,737216;54.212.130.172;192,168,1,6;TCP;56;443  >  58009 [ACK] Seq=11545 Ack=4386 Win=39680 Len=0;;;19,737216;19,747053;0;;0;0;0
519;19,747053;54.212.130.172;192,168,1,6;TCP;1506;443  >  58009 [ACK] Seq=11545 Ack=4386 Win=39680 Len=1452 [TCP segment of a reassembled PDU];;;19,747053;19,747053;0;;0;0;0
520;19,747053;54.212.130.172;192,168,1,6;TCP;1506;443  >  58009 [ACK] Seq=12997 Ack=4386 Win=39680 Len=1452 [TCP segment of a reassembled PDU];;;19,747053;19,747053;0;;0;0;0
521;19,747053;54.212.130.172;192,168,1,6;TCP;1506;443  >  58009 [ACK] Seq=14449 Ack=4386 Win=39680 Len=1452 [TCP segment of a reassembled PDU];;;19,747053;19,747053;0;;0;0;0
522;19,747053;54.212.130.172;192,168,1,6;TCP;1506;443  >  58009 [ACK] Seq=15901 Ack=4386 Win=39680 Len=1452 [TCP segment of a reassembled PDU];;;19,747053;19,747053;0;;0;0;0
523;19,747053;54.212.130.172;192,168,1,6;TCP;1506;443  >  58009 [ACK] Seq=17353 Ack=4386 Win=39680 Len=1452 [TCP segment of a reassembled PDU];;;19,747053;19,747053;0;;0;0;0
524;19,747053;54.212.130.172;192,168,1,6;TCP;1506;443  >  58009 [ACK] Seq=18805 Ack=4386 Win=39680 Len=1452 [TCP segment of a reassembled PDU];;;19,747053;19,747053;0;;0;0;0
525;19,747053;54.212.130.172;192,168,1,6;TCP;1506;443  >  58009 [ACK] Seq=20257 Ack=4386 Win=39680 Len=1452 [TCP segment of a reassembled PDU];;;19,747053;19,747053;0;;-0,000199;0,000199;0,000398
526;19,747053;54.212.130.172;192,168,1,6;TLSv1,2;1428;Application Data;;;19,747053;19,747053;0,000199;;-0,002407;0,002606;0,005013
527;19,747053;54.212.130.172;192,168,1,6;TLSv1,2;92;Application Data;;;19,747053;19,747252;0,002606;;-0,183219;0,185825;0,369044
528;19,747252;192,168,1,6;54.212.130.172;TCP;54;58009  >  443 [ACK] Seq=4386 Ack=23121 Win=132096 Len=0;;;19,747252;19,749858;0,185825;;0,165537;0,020288;-0,145249
529;19,749858;192,168,1,6;104,244,38,20;TCP;54;58008  >  443 [ACK] Seq=3300 Ack=6897 Win=131072 Len=0;;;19,749858;19,935683;0,020288;;0,020156;0,000132;-0,020024
532;19,935683;192,168,1,6;104,93,104,184;TCP;66;58010  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;19,935683;19,955971;0,000132;;-0,000249;0,000381;0,00063
533;19,955971;104,93,104,184;192,168,1,6;TCP;66;443  >  58010 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1452 SACK_PERM=1 WS=128;;;19,955971;19,956103;0,000381;;-0,018749;0,01913;0,037879
534;19,956103;192,168,1,6;104,93,104,184;TCP;54;58010  >  443 [ACK] Seq=1 Ack=1 Win=132096 Len=0;;;19,956103;19,956484;0,01913;;0,014418;0,004712;-0,009706
535;19,956484;192,168,1,6;104,93,104,184;TLSv1,2;571;Client Hello;;;19,956484;19,975614;0,004712;;0,004712;0;-0,004712
536;19,975614;104,93,104,184;192,168,1,6;TCP;54;443  >  58010 [ACK] Seq=1 Ack=518 Win=30336 Len=0;;;19,975614;19,980326;0;;0;0;0
537;19,980326;104,93,104,184;192,168,1,6;TLSv1,2;1506;Server Hello;;;19,980326;19,980326;0;;-0,000117;0,000117;0,000234
538;19,980326;104,93,104,184;192,168,1,6;TCP;1506;443  >  58010 [ACK] Seq=1453 Ack=518 Win=30336 Len=1452 [TCP segment of a reassembled PDU];;;19,980326;19,980326;0,000117;;-0,002608;0,002725;0,005333
539;19,980326;104,93,104,184;192,168,1,6;TCP;1246;443  >  58010 [PSH, ACK] Seq=2905 Ack=518 Win=30336 Len=1192 [TCP segment of a reassembled PDU];;;19,980326;19,980443;0,002725;;0,002619;0,000106;-0,002513
540;19,980443;192,168,1,6;104,93,104,184;TCP;54;58010  >  443 [ACK] Seq=518 Ack=4097 Win=132096 Len=0;;;19,980443;19,983168;0,000106;;-0,01677;0,016876;0,033646
541;19,983168;104,93,104,184;192,168,1,6;TLSv1,2;932;Certificate, Certificate Status, Server Key Exchange, Server Hello Done;;;19,983168;19,983274;0,016876;;0,016119;0,000757;-0,015362
542;19,983274;192,168,1,6;104,93,104,184;TCP;54;58010  >  443 [ACK] Seq=518 Ack=4975 Win=131072 Len=0;;;19,983274;20,00015;0,000757;;-0,015099;0,015856;0,030955
543;20,00015;192,168,1,6;104,93,104,184;TLSv1,2;180;Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message;;;20,00015;20,000907;0,015856;;0,007151;0,008705;0,001554
544;20,000907;192,168,1,6;104,93,104,184;TLSv1,2;725;Application Data;;;20,000907;20,016763;0,008705;;0,008705;0;-0,008705
545;20,016763;104,93,104,184;192,168,1,6;TLSv1,2;328;New Session Ticket, Change Cipher Spec, Encrypted Handshake Message;;;20,016763;20,025468;0;;0;0;0
546;20,025468;104,93,104,184;192,168,1,6;TCP;1506;443  >  58010 [ACK] Seq=5249 Ack=1315 Win=31616 Len=1452 [TCP segment of a reassembled PDU];;;20,025468;20,025468;0;;0;0;0
547;20,025468;104,93,104,184;192,168,1,6;TCP;1506;443  >  58010 [ACK] Seq=6701 Ack=1315 Win=31616 Len=1452 [TCP segment of a reassembled PDU];;;20,025468;20,025468;0;;-0,000134;0,000134;0,000268
548;20,025468;104,93,104,184;192,168,1,6;TCP;1506;443  >  58010 [ACK] Seq=8153 Ack=1315 Win=31616 Len=1452 [TCP segment of a reassembled PDU];;;20,025468;20,025468;0,000134;;-0,047324;0,047458;0,094782
549;20,025468;104,93,104,184;192,168,1,6;TLSv1,2;113;Application Data;;;20,025468;20,025602;0,047458;;0,027592;0,019866;-0,007726
550;20,025602;192,168,1,6;104,93,104,184;TCP;54;58010  >  443 [ACK] Seq=1315 Ack=9664 Win=132096 Len=0;;;20,025602;20,07306;0,019866;;-0,026598;0,046464;0,073062
551;20,07306;192,168,1,6;104,93,104,184;TLSv1,2;593;Application Data;;;20,07306;20,092926;0,046464;;-0,004944;0,051408;0,056352
552;20,092926;104,93,104,184;192,168,1,6;TLSv1,2;473;Application Data;;;20,092926;20,13939;0,051408;;0,023799;0,027609;0,00381
554;20,13939;192,168,1,6;104,93,104,184;TCP;54;58010  >  443 [ACK] Seq=1854 Ack=10083 Win=131584 Len=0;;;20,13939;20,190798;0,027609;;0,027609;0;-0,027609
570;20,190798;192,168,1,6;104,93,104,184;TLSv1,2;764;Application Data;;;20,190798;20,218407;0;;-0,000162;0,000162;0,000324
574;20,218407;104,93,104,184;192,168,1,6;TCP;1506;443  >  58010 [ACK] Seq=10083 Ack=2564 Win=34432 Len=1452 [TCP segment of a reassembled PDU];;;20,218407;20,218407;0,000162;;-0,001786;0,001948;0,003734
575;20,218407;104,93,104,184;192,168,1,6;TLSv1,2;1049;Application Data;;;20,218407;20,218569;0,001948;;0,00017;0,001778;0,001608
576;20,218569;192,168,1,6;104,93,104,184;TCP;54;58010  >  443 [ACK] Seq=2564 Ack=12530 Win=132096 Len=0;;;20,218569;20,220517;0,001778;;-0,044165;0,045943;0,090108
578;20,220517;192,168,1,6;104,244,38,20;TLSv1,2;1021;Application Data;;;20,220517;20,222295;0,045943;;0,045335;0,000608;-0,044727
579;20,222295;13.107.136.254;192,168,1,6;TCP;54;443  >  57955 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0;;;20,222295;20,268238;0,000608;;-0,012732;0,01334;0,026072
580;20,268238;192,168,1,6;104,93,104,184;TLSv1,2;570;Application Data;;;20,268238;20,268846;0,01334;;0,003972;0,009368;0,005396
581;20,268846;192,168,1,6;54.212.130.172;TLSv1,2;160;Application Data;;;20,268846;20,282186;0,009368;;0,009368;0;-0,009368
585;20,282186;192,168,1,6;104,17,78,107;TCP;66;58011  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;20,282186;20,291554;0;;0;0;0
586;20,291554;104,93,104,184;192,168,1,6;TCP;1506;443  >  58010 [ACK] Seq=12530 Ack=3080 Win=35840 Len=1452 [TCP segment of a reassembled PDU];;;20,291554;20,291554;0;;0;0;0
587;20,291554;104,93,104,184;192,168,1,6;TCP;1506;443  >  58010 [ACK] Seq=13982 Ack=3080 Win=35840 Len=1452 [TCP segment of a reassembled PDU];;;20,291554;20,291554;0;;0;0;0
588;20,291554;104,93,104,184;192,168,1,6;TCP;1506;443  >  58010 [ACK] Seq=15434 Ack=3080 Win=35840 Len=1452 [TCP segment of a reassembled PDU];;;20,291554;20,291554;0;;0;0;0
589;20,291554;104,93,104,184;192,168,1,6;TCP;1506;443  >  58010 [ACK] Seq=16886 Ack=3080 Win=35840 Len=1452 [TCP segment of a reassembled PDU];;;20,291554;20,291554;0;;0;0;0
590;20,291554;104,93,104,184;192,168,1,6;TCP;1506;443  >  58010 [ACK] Seq=18338 Ack=3080 Win=35840 Len=1452 [TCP segment of a reassembled PDU];;;20,291554;20,291554;0;;0;0;0
591;20,291554;104,93,104,184;192,168,1,6;TCP;1506;443  >  58010 [ACK] Seq=19790 Ack=3080 Win=35840 Len=1452 [TCP segment of a reassembled PDU];;;20,291554;20,291554;0;;0;0;0
592;20,291554;104,93,104,184;192,168,1,6;TCP;1506;443  >  58010 [ACK] Seq=21242 Ack=3080 Win=35840 Len=1452 [TCP segment of a reassembled PDU];;;20,291554;20,291554;0;;-0,000111;0,000111;0,000222
593;20,291554;104,93,104,184;192,168,1,6;TCP;1506;443  >  58010 [ACK] Seq=22694 Ack=3080 Win=35840 Len=1452 [TCP segment of a reassembled PDU];;;20,291554;20,291554;0,000111;;-0,000322;0,000433;0,000755
594;20,291554;104,93,104,184;192,168,1,6;TCP;1506;443  >  58010 [ACK] Seq=24146 Ack=3080 Win=35840 Len=1452 [TCP segment of a reassembled PDU];;;20,291554;20,291665;0,000433;;0,000433;0;-0,000433
595;20,291665;192,168,1,6;104,93,104,184;TCP;54;58010  >  443 [ACK] Seq=3080 Ack=25598 Win=132096 Len=0;;;20,291665;20,292098;0;;-0,000048;0,000048;0,000096
596;20,292098;104,93,104,184;192,168,1,6;TCP;1506;443  >  58010 [ACK] Seq=25598 Ack=3080 Win=35840 Len=1452 [TCP segment of a reassembled PDU];;;20,292098;20,292098;0,000048;;-0,006009;0,006057;0,012066
597;20,292098;104,93,104,184;192,168,1,6;TCP;1506;443  >  58010 [ACK] Seq=27050 Ack=3080 Win=35840 Len=1452 [TCP segment of a reassembled PDU];;;20,292098;20,292146;0,006057;;0,006057;0;-0,006057
598;20,292146;192,168,1,6;104,93,104,184;TCP;54;58010  >  443 [ACK] Seq=3080 Ack=28502 Win=132096 Len=0;;;20,292146;20,298203;0;;0;0;0
599;20,298203;104,93,104,184;192,168,1,6;TLSv1,2;1506;Application Data [TCP segment of a reassembled PDU];;;20,298203;20,298203;0;;0;0;0
600;20,298203;104,93,104,184;192,168,1,6;TCP;1506;443  >  58010 [ACK] Seq=29954 Ack=3080 Win=35840 Len=1452 [TCP segment of a reassembled PDU];;;20,298203;20,298203;0;;0;0;0
601;20,298203;104,93,104,184;192,168,1,6;TCP;1506;443  >  58010 [ACK] Seq=31406 Ack=3080 Win=35840 Len=1452 [TCP segment of a reassembled PDU];;;20,298203;20,298203;0;;0;0;0
602;20,298203;104,93,104,184;192,168,1,6;TCP;1506;443  >  58010 [ACK] Seq=32858 Ack=3080 Win=35840 Len=1452 [TCP segment of a reassembled PDU];;;20,298203;20,298203;0;;0;0;0
603;20,298203;104,93,104,184;192,168,1,6;TCP;1506;443  >  58010 [ACK] Seq=34310 Ack=3080 Win=35840 Len=1452 [TCP segment of a reassembled PDU];;;20,298203;20,298203;0;;0;0;0
604;20,298203;104,93,104,184;192,168,1,6;TCP;1506;443  >  58010 [ACK] Seq=35762 Ack=3080 Win=35840 Len=1452 [TCP segment of a reassembled PDU];;;20,298203;20,298203;0;;0;0;0
605;20,298203;104,93,104,184;192,168,1,6;TLSv1,2;449;Application Data;;;20,298203;20,298203;0;;0;0;0
